k_factor,finish_multiplier,title_fight_multiplier,five_round_multiplier,log_loss,brier_score,accuracy,num_predictions
50.00,1.10,1.00,1.00,0.680761,0.243900,0.512113,8957
50.00,1.10,1.05,1.00,0.680761,0.243900,0.512113,8957
50.00,1.10,1.10,1.00,0.680761,0.243900,0.512113,8957
50.00,1.10,1.15,1.00,0.680761,0.243900,0.512113,8957
50.00,1.00,1.00,1.10,0.681081,0.244055,0.511667,8957
50.00,1.00,1.05,1.10,0.681081,0.244055,0.511667,8957
50.00,1.00,1.10,1.10,0.681081,0.244055,0.511667,8957
50.00,1.00,1.15,1.10,0.681081,0.244055,0.511667,8957
50.00,1.00,1.00,1.05,0.681081,0.244055,0.511667,8957
50.00,1.00,1.05,1.05,0.681081,0.244055,0.511667,8957
50.00,1.00,1.10,1.05,0.681081,0.244055,0.511667,8957
50.00,1.00,1.15,1.05,0.681081,0.244055,0.511667,8957
50.00,1.00,1.00,1.00,0.681082,0.244055,0.511667,8957
50.00,1.00,1.05,1.00,0.681082,0.244055,0.511667,8957
50.00,1.00,1.10,1.00,0.681082,0.244055,0.511667,8957
50.00,1.00,1.15,1.00,0.681082,0.244055,0.511667,8957
40.00,1.30,1.00,1.10,0.681738,0.244364,0.512448,8957
40.00,1.30,1.05,1.10,0.681738,0.244364,0.512448,8957
40.00,1.30,1.10,1.10,0.681738,0.244364,0.512448,8957
40.00,1.30,1.15,1.10,0.681738,0.244364,0.512448,8957
40.00,1.30,1.00,1.05,0.681738,0.244364,0.512448,8957
40.00,1.30,1.05,1.05,0.681738,0.244364,0.512448,8957
40.00,1.30,1.10,1.05,0.681738,0.244364,0.512448,8957
40.00,1.30,1.15,1.05,0.681738,0.244364,0.512448,8957
40.00,1.30,1.00,1.00,0.681739,0.244364,0.512448,8957
40.00,1.30,1.05,1.00,0.681739,0.244364,0.512448,8957
40.00,1.30,1.10,1.00,0.681739,0.244364,0.512448,8957
40.00,1.30,1.15,1.00,0.681739,0.244364,0.512448,8957
40.00,1.20,1.00,1.10,0.681867,0.244427,0.511444,8957
40.00,1.20,1.05,1.10,0.681867,0.244427,0.511444,8957
40.00,1.20,1.10,1.10,0.681867,0.244427,0.511444,8957
